rank,german,article,plural,english,pos,example_de,example_en
321,Nachricht,die,Nachrichten,"message; news",noun,"Ich habe deine Nachricht bekommen.","I got your message."
322,Antwort,die,Antworten,"answer",noun,"Deine Antwort war richtig.","Your answer was correct."
323,antworten,,,"to answer",verb,"Sie antwortet nicht.","She is not answering."
324,richtig,,,"right; correct",adjective,"Das ist die richtige Adresse.","That is the right address."
325,falsch,,,"wrong; false",adjective,"Die Antwort ist falsch.","The answer is wrong."
326,Fehler,der,Fehler,"mistake; error",noun,"Das war mein Fehler.","That was my mistake."
327,Meinung,die,Meinungen,"opinion",noun,"Was ist deine Meinung dazu?","What is your opinion on that?"
328,Idee,die,Ideen,"idea",noun,"Das ist eine tolle Idee.","That is a great idea."
329,Plan,der,Pläne,"plan",noun,"Wir haben einen neuen Plan.","We have a new plan."
330,Ziel,das,Ziele,"goal; destination",noun,"Wir haben unser Ziel erreicht.","We reached our goal."
331,erreichen,,,"to reach; to achieve",verb,"Ich kann ihn nicht erreichen.","I cannot reach him."
332,versuchen,,,"to try",verb,"Versuch es noch einmal!","Try it again!"
333,brauchen,,,"to need",verb,"Ich brauche deine Hilfe.","I need your help."
334,Hilfe,die,Hilfen,"help",noun,"Danke für deine Hilfe.","Thanks for your help."
335,gefallen,,,"to please; to like",verb,"Der Film hat mir gefallen.","I liked the film."
336,mögen,,,"to like",verb,"Ich mag keinen Fisch.","I do not like fish."
337,Fisch,der,Fische,"fish",noun,"Der Fisch schwimmt im Teich.","The fish is swimming in the pond."
338,dürfen,,,"may; to be allowed to",verb,"Darf ich hereinkommen?","May I come in?"
339,bitte,,,"please",adverb,"Bitte komm pünktlich.","Please come on time."
340,danke,,,"thanks",adverb,"Danke für alles!","Thanks for everything!"
341,Entschuldigung,die,Entschuldigungen,"excuse me; apology",noun,"Entschuldigung, wo ist der Bahnhof?","Excuse me, where is the station?"
342,gern,,,"gladly; willingly",adverb,"Ich trinke gern Tee.","I like drinking tea."
343,vielleicht,,,"maybe; perhaps",adverb,"Vielleicht kommt sie später.","Maybe she will come later."
344,natürlich,,,"of course; naturally",adverb,"Natürlich helfe ich dir.","Of course I will help you."
345,wirklich,,,"really",adverb,"Das ist wirklich schade.","That is really a shame."
346,eigentlich,,,"actually",adverb,"Eigentlich wollte ich zu Hause bleiben.","Actually I wanted to stay home."
347,besonders,,,"especially",adverb,"Das gefällt mir besonders gut.","I like that especially."
348,genau,,,"exactly; precisely",adverb,"Das ist genau richtig.","That is exactly right."
349,fast,,,"almost",adverb,"Wir sind fast fertig.","We are almost finished."
350,ganz,,,"quite; whole; completely",adverb,"Das ist ganz einfach.","That is quite simple."
351,einfach,,,"simple; easy",adjective,"Die Lösung war einfach.","The solution was simple."
352,Lösung,die,Lösungen,"solution",noun,"Wir suchen eine Lösung.","We are looking for a solution."
353,schwierig,,,"difficult",adjective,"Das ist eine schwierige Frage.","That is a difficult question."
354,möglich,,,"possible",adjective,"Ist das überhaupt möglich?","Is that even possible?"
355,nötig,,,"necessary",adjective,"Das ist nicht nötig.","That is not necessary."
356,sicher,,,"sure; safe; certain",adjective,"Bist du dir sicher?","Are you sure?"
357,bestimmt,,,"certainly; definitely",adverb,"Er kommt bestimmt noch.","He will definitely still come."
358,leider,,,"unfortunately",adverb,"Leider habe ich keine Zeit.","Unfortunately I do not have time."
359,endlich,,,"finally; at last",adverb,"Endlich bist du da!","You are finally here!"
360,sofort,,,"immediately",adverb,"Komm bitte sofort her.","Please come here immediately."
361,gleich,,,"right away; same",adverb,"Ich komme gleich.","I will be right there."
362,bald,,,"soon",adverb,"Wir sehen uns bald.","We will see each other soon."
363,früh,,,"early",adjective,"Ich stehe früh auf.","I get up early."
364,gestern,,,"yesterday",adverb,"Gestern war ich im Kino.","Yesterday I was at the cinema."
365,morgen,,,"tomorrow",adverb,"Morgen habe ich einen Termin.","Tomorrow I have an appointment."
366,Termin,der,Termine,"appointment",noun,"Ich habe einen Termin beim Arzt.","I have a doctor's appointment."
367,Uhr,die,Uhren,"clock; watch; o'clock",noun,"Die Uhr geht falsch.","The clock is wrong."
368,Minute,die,Minuten,"minute",noun,"Warte eine Minute!","Wait a minute!"
369,Monat,der,Monate,"month",noun,"Der Monat ist fast vorbei.","The month is almost over."
370,Montag,der,Montage,"Monday",noun,"Am Montag beginnt die Schule.","School starts on Monday."
371,Freitag,der,Freitage,"Friday",noun,"Am Freitag habe ich frei.","I am off on Friday."
372,Samstag,der,Samstage,"Saturday",noun,"Am Samstag schlafe ich lange.","On Saturday I sleep in."
373,Sonntag,der,Sonntage,"Sunday",noun,"Am Sonntag besuchen wir Oma.","On Sunday we visit Grandma."
374,Wochenende,das,Wochenenden,"weekend",noun,"Schönes Wochenende!","Have a nice weekend!"
375,Geburtstag,der,Geburtstage,"birthday",noun,"Heute ist mein Geburtstag.","Today is my birthday."
376,Fest,das,Feste,"party; festival",noun,"Das Fest war sehr schön.","The party was lovely."
377,feiern,,,"to celebrate",verb,"Wir feiern heute Abend.","We are celebrating tonight."
378,einladen,,,"to invite",verb,"Ich lade dich zum Essen ein.","I am inviting you to dinner."
379,Geschenk,das,Geschenke,"gift; present",noun,"Das Geschenk hat sie gefreut.","The gift made her happy."
380,schenken,,,"to give (as a gift)",verb,"Was schenkst du ihm?","What are you giving him?"
381,Kirche,die,Kirchen,"church",noun,"Die Kirche steht im Zentrum.","The church is in the center."
382,Museum,das,Museen,"museum",noun,"Das Museum ist montags geschlossen.","The museum is closed on Mondays."
383,Kino,das,Kinos,"cinema; movie theater",noun,"Gehen wir ins Kino?","Shall we go to the cinema?"
384,Theater,das,Theater,"theater",noun,"Wir waren gestern im Theater.","We were at the theater yesterday."
385,Konzert,das,Konzerte,"concert",noun,"Das Konzert beginnt um acht.","The concert starts at eight."
386,Sport,der,,"sport; exercise",noun,"Sport ist gesund.","Exercise is healthy."
387,Spiel,das,Spiele,"game; match",noun,"Das Spiel war spannend.","The game was exciting."
388,gewinnen,,,"to win",verb,"Unsere Mannschaft hat gewonnen.","Our team won."
389,verlieren,,,"to lose",verb,"Ich habe meinen Schlüssel verloren.","I lost my key."
390,Schlüssel,der,Schlüssel,"key",noun,"Der Schlüssel liegt auf dem Tisch.","The key is on the table."
391,Mannschaft,die,Mannschaften,"team",noun,"Die Mannschaft trainiert hart.","The team trains hard."
392,Freundin,die,Freundinnen,"girlfriend; female friend",noun,"Meine Freundin wohnt in Köln.","My girlfriend lives in Cologne."
393,Bruder,der,Brüder,"brother",noun,"Mein Bruder ist älter als ich.","My brother is older than me."
394,Schwester,die,Schwestern,"sister",noun,"Meine Schwester studiert Musik.","My sister studies music."
395,Sohn,der,Söhne,"son",noun,"Ihr Sohn geht schon zur Schule.","Their son already goes to school."
396,Tochter,die,Töchter,"daughter",noun,"Ihre Tochter ist sehr klug.","Their daughter is very smart."
397,Eltern,die,Eltern,"parents",noun,"Meine Eltern wohnen auf dem Land.","My parents live in the countryside."
398,Großmutter,die,Großmütter,"grandmother",noun,"Meine Großmutter backt gern.","My grandmother likes to bake."
399,Großvater,der,Großväter,"grandfather",noun,"Mein Großvater erzählt gute Geschichten.","My grandfather tells good stories."
400,Baby,das,Babys,"baby",noun,"Das Baby weint.","The baby is crying."
401,Junge,der,Jungen,"boy",noun,"Der Junge spielt Fußball.","The boy is playing soccer."
402,Mädchen,das,Mädchen,"girl",noun,"Das Mädchen liest ein Buch.","The girl is reading a book."
403,Fußball,der,Fußbälle,"soccer; football",noun,"Fußball ist sehr beliebt.","Soccer is very popular."
404,beliebt,,,"popular",adjective,"Dieses Lied ist sehr beliebt.","This song is very popular."
405,Lied,das,Lieder,"song",noun,"Sie singt ein altes Lied.","She is singing an old song."
406,singen,,,"to sing",verb,"Wir singen im Chor.","We sing in a choir."
407,tanzen,,,"to dance",verb,"Sie tanzt sehr gut.","She dances very well."
408,lachen,,,"to laugh",verb,"Alle haben gelacht.","Everyone laughed."
409,weinen,,,"to cry",verb,"Das Kind weint nicht mehr.","The child is not crying anymore."
410,freuen,,,"to be glad; to look forward to",verb,"Ich freue mich auf den Sommer.","I am looking forward to summer."
411,Freude,die,Freuden,"joy",noun,"Das war eine große Freude.","That was a great joy."
412,glücklich,,,"happy",adjective,"Sie sieht glücklich aus.","She looks happy."
413,traurig,,,"sad",adjective,"Warum bist du so traurig?","Why are you so sad?"
414,Angst,die,Ängste,"fear; anxiety",noun,"Er hat Angst vor Hunden.","He is afraid of dogs."
415,böse,,,"angry; evil",adjective,"Bist du böse auf mich?","Are you angry with me?"
416,nett,,,"nice; kind",adjective,"Deine Nachbarn sind sehr nett.","Your neighbors are very nice."
417,Nachbar,der,Nachbarn,"neighbor",noun,"Der Nachbar hat einen Hund.","The neighbor has a dog."
418,freundlich,,,"friendly",adjective,"Die Verkäuferin war sehr freundlich.","The saleswoman was very friendly."
419,ruhig,,,"quiet; calm",adjective,"Bleib bitte ruhig.","Please stay calm."
420,laut,,,"loud",adjective,"Die Musik ist zu laut.","The music is too loud."
421,leise,,,"quiet; soft",adjective,"Sprich bitte leise.","Please speak quietly."
422,stark,,,"strong",adjective,"Er ist sehr stark.","He is very strong."
423,schwach,,,"weak",adjective,"Nach der Krankheit war er schwach.","After the illness he was weak."
424,Kraft,die,Kräfte,"strength; force",noun,"Mir fehlt die Kraft.","I do not have the strength."
425,Mut,der,,"courage",noun,"Du brauchst Mut dafür.","You need courage for that."
426,Glück,das,,"luck; happiness",noun,"Viel Glück!","Good luck!"
427,Pech,das,,"bad luck",noun,"So ein Pech!","What bad luck!"
428,Zufall,der,Zufälle,"coincidence; chance",noun,"Das war reiner Zufall.","That was pure coincidence."
429,Wahrheit,die,Wahrheiten,"truth",noun,"Sag mir die Wahrheit.","Tell me the truth."
430,Recht,das,Rechte,"right; law",noun,"Du hast das Recht zu schweigen.","You have the right to remain silent."
431,Gesetz,das,Gesetze,"law",noun,"Das neue Gesetz gilt ab Januar.","The new law applies from January."
432,Regierung,die,Regierungen,"government",noun,"Die Regierung hat entschieden.","The government has decided."
433,Staat,der,Staaten,"state; country",noun,"Der Staat zahlt die Kosten.","The state pays the costs."
434,Krieg,der,Kriege,"war",noun,"Der Krieg dauerte vier Jahre.","The war lasted four years."
435,Frieden,der,,"peace",noun,"Alle hoffen auf Frieden.","Everyone hopes for peace."
436,Politik,die,,"politics; policy",noun,"Er interessiert sich für Politik.","He is interested in politics."
437,Zukunft,die,,"future",noun,"Was bringt die Zukunft?","What will the future bring?"
438,Vergangenheit,die,,"past",noun,"Das gehört der Vergangenheit an.","That belongs to the past."
439,Gegenwart,die,,"present",noun,"Wir leben in der Gegenwart.","We live in the present."
440,Entwicklung,die,Entwicklungen,"development",noun,"Die Entwicklung geht schnell.","Development is moving fast."
441,Erfahrung,die,Erfahrungen,"experience",noun,"Sie hat viel Erfahrung.","She has a lot of experience."
442,Wissen,das,,"knowledge",noun,"Sein Wissen ist beeindruckend.","His knowledge is impressive."
443,Information,die,Informationen,"information",noun,"Wir brauchen mehr Informationen.","We need more information."
444,Bild,das,Bilder,"picture; image",noun,"Das Bild hängt im Flur.","The picture hangs in the hallway."
445,Foto,das,Fotos,"photo",noun,"Mach bitte ein Foto von uns.","Please take a photo of us."
446,Karte,die,Karten,"card; map; ticket",noun,"Ich habe die Karten schon gekauft.","I already bought the tickets."
447,Reihe,die,Reihen,"row; series",noun,"Wir sitzen in der ersten Reihe.","We are sitting in the first row."
448,Ort,der,Orte,"place; town",noun,"Der Ort ist sehr klein.","The town is very small."
449,Dorf,das,Dörfer,"village",noun,"Das Dorf hat nur eine Straße.","The village has only one street."
450,Gebäude,das,Gebäude,"building",noun,"Das Gebäude ist neu.","The building is new."
451,Wand,die,Wände,"wall",noun,"An der Wand hängt ein Spiegel.","A mirror hangs on the wall."
452,Boden,der,Böden,"floor; ground",noun,"Der Boden ist nass.","The floor is wet."
453,Küche,die,Küchen,"kitchen",noun,"Wir sitzen in der Küche.","We are sitting in the kitchen."
454,Bad,das,Bäder,"bathroom; bath",noun,"Das Bad ist besetzt.","The bathroom is occupied."
455,Bett,das,Betten,"bed",noun,"Das Bett ist sehr bequem.","The bed is very comfortable."
456,bequem,,,"comfortable",adjective,"Der Stuhl ist nicht bequem.","The chair is not comfortable."
457,sauber,,,"clean",adjective,"Die Wohnung ist sauber.","The apartment is clean."
458,schmutzig,,,"dirty",adjective,"Deine Schuhe sind schmutzig.","Your shoes are dirty."
459,putzen,,,"to clean",verb,"Ich putze am Samstag.","I clean on Saturdays."
460,waschen,,,"to wash",verb,"Ich wasche die Wäsche.","I am washing the laundry."
461,öffnen,,,"to open",verb,"Öffne bitte die Tür.","Please open the door."
462,schließen,,,"to close",verb,"Schließ bitte das Fenster.","Please close the window."
463,aufhören,,,"to stop; to quit",verb,"Hör bitte auf!","Please stop!"
464,anfangen,,,"to begin; to start",verb,"Wann fangen wir an?","When do we start?"
465,weitermachen,,,"to continue",verb,"Mach bitte weiter.","Please continue."
466,ändern,,,"to change",verb,"Wir müssen den Plan ändern.","We have to change the plan."
467,entscheiden,,,"to decide",verb,"Du musst dich entscheiden.","You have to decide."
468,Entscheidung,die,Entscheidungen,"decision",noun,"Das war eine gute Entscheidung.","That was a good decision."
469,erklären,,,"to explain",verb,"Kannst du mir das erklären?","Can you explain that to me?"
470,erzählen,,,"to tell; to narrate",verb,"Erzähl mir von deiner Reise.","Tell me about your trip."
471,vergessen,,,"to forget",verb,"Ich habe deinen Namen vergessen.","I forgot your name."
472,erinnern,,,"to remember; to remind",verb,"Ich erinnere mich gut daran.","I remember it well."
473,treffen,,,"to meet",verb,"Wir treffen uns um sechs.","We are meeting at six."
474,besuchen,,,"to visit",verb,"Wir besuchen morgen Freunde.","We are visiting friends tomorrow."
475,mitkommen,,,"to come along",verb,"Willst du mitkommen?","Do you want to come along?"
476,wohnen,,,"to live; to reside",verb,"Wo wohnst du?","Where do you live?"
477,ziehen,,,"to pull; to move",verb,"Das Pferd zieht den Wagen.","The horse pulls the cart."
478,setzen,,,"to set; to sit down",verb,"Setz dich bitte!","Please sit down!"
479,sitzen,,,"to sit",verb,"Wir sitzen am Fenster.","We are sitting by the window."
480,legen,,,"to lay; to put",verb,"Leg das Buch auf den Tisch.","Put the book on the table."
481,stellen,,,"to put; to place",verb,"Stell die Flasche in den Kühlschrank.","Put the bottle in the fridge."
482,Kühlschrank,der,Kühlschränke,"refrigerator",noun,"Der Kühlschrank ist leer.","The fridge is empty."
483,benutzen,,,"to use",verb,"Darf ich dein Telefon benutzen?","May I use your phone?"
484,verkaufen,,,"to sell",verb,"Sie verkaufen ihr Haus.","They are selling their house."
485,verdienen,,,"to earn; to deserve",verb,"Er verdient gut.","He earns well."
486,sparen,,,"to save (money)",verb,"Wir sparen für ein Auto.","We are saving for a car."
487,ausgeben,,,"to spend",verb,"Ich gebe zu viel Geld aus.","I spend too much money."
488,schicken,,,"to send",verb,"Ich schicke dir eine Nachricht.","I will send you a message."
489,holen,,,"to fetch; to get",verb,"Hol bitte die Zeitung.","Please fetch the newspaper."
490,bauen,,,"to build",verb,"Sie bauen ein neues Haus.","They are building a new house."
491,wachsen,,,"to grow",verb,"Die Kinder wachsen schnell.","The children grow fast."
492,sterben,,,"to die",verb,"Sein Großvater ist letztes Jahr gestorben.","His grandfather died last year."
493,geboren,,,"born",adjective,"Ich bin in Berlin geboren.","I was born in Berlin."
494,Tod,der,Tode,"death",noun,"Sein Tod kam plötzlich.","His death came suddenly."
495,Gesundheit,die,,"health",noun,"Gesundheit ist das Wichtigste.","Health is the most important thing."
496,Medikament,das,Medikamente,"medicine; drug",noun,"Nimm das Medikament dreimal täglich.","Take the medicine three times a day."
497,Schmerz,der,Schmerzen,"pain",noun,"Ich habe starke Schmerzen.","I am in a lot of pain."
498,Hoffnung,die,Hoffnungen,"hope",noun,"Wir geben die Hoffnung nicht auf.","We are not giving up hope."
499,hoffen,,,"to hope",verb,"Ich hoffe, du kommst.","I hope you will come."
500,Wunsch,der,Wünsche,"wish",noun,"Hast du einen besonderen Wunsch?","Do you have a special wish?"
